n';m';Ã“timo;Moreno et Al;R-BEP;PageRank1;PageRank2
20;41.8;0.8;1.04;1.50;1.50;1.56
40;70.8;2.8;3.76;4.68;4.70;4.80
60;95.0;6.3;8.16;8.70;8.71;8.81
80;119.8;9.2;11.68;12.06;12.02;12.18
100;144.0;13.3;16.24;16.61;16.60;16.76
120;168.8;17.5;20.88;21.03;20.98;21.12
140;193.0;20.9;24.52;24.91;24.95;25.10
160;217.8;25.0;29.84;29.41;29.40;29.65
180;242.0;29.1;33.44;33.80;33.82;33.99
200;266.8;32.6;37.56;37.64;37.67;37.95
250;321.0;44.6;50.72;50.20;50.20;50.47
300;380.0;57.4;63.16;63.00;63.01;63.28
350;434.8;68.6;76.12;75.03;75.03;75.28
400;489.0;81.8;90.84;88.71;88.71;88.99
450;548.0;93.4;102.04;100.47;100.44;100.85
500;602.8;106.7;116.64;114.07;114.09;114.28
